bioguide_id,name,state,district,party,fec_ids
E000294,Tom Emmer,MN,6,R,H4MN06087
F000470,Michelle Fischbach,MN,7,R,H0MN07091
S001212,Pete Stauber,MN,8,R,H8MN08043
B001324,Wesley Bell,MO,1,D,H4MO01134
W000812,Ann Wagner,MO,2,R,H2MO02102
O000177,"Robert F. Onder, Jr.",MO,3,R,H8MO09146
A000379,Mark Alford,MO,4,R,H2MO04207
C001061,Emanuel Cleaver,MO,5,D,H4MO05234
G000546,Sam Graves,MO,6,R,H0MO06073
B001316,Eric Burlison,MO,7,R,H2MO07143
S001195,Jason Smith,MO,8,R,H4MO08162
K000404,Kimberlyn King-Hinds,MP,0,R,H4MP01022
K000388,Trent Kelly,MS,1,R,H6MS01131
T000193,Bennie G. Thompson,MS,2,D,H4MS02068
G000591,Michael Guest,MS,3,R,H8MS03125
E000235,Mike Ezell,MS,4,R,H2MS04258
Z000018,Ryan K. Zinke,MT,1,R,H4MT01041
D000634,Troy Downing,MT,2,R,H4MT02098
D000230,Donald G. Davis,NC,1,D,H2NC02287
R000305,Deborah K. Ross,NC,2,D,H0NC02125
M001210,Gregory F. Murphy,NC,3,R,H0NC03172
F000477,Valerie P. Foushee,NC,4,D,H2NC06114
F000450,Virginia Foxx,NC,5,R,H4NC05146
M001240,Addison P. McDowell,NC,6,R,H4NC06177
R000603,David Rouzer,NC,7,R,H2NC07096
H001102,Mark Harris,NC,8,R,H6NC09200
H001067,Richard Hudson,NC,9,R,H2NC08185
H001101,Pat Harrigan,NC,10,R,H2NC13243
E000246,Chuck Edwards,NC,11,R,H2NC14050
A000370,Alma S. Adams,NC,12,D,H4NC12100
K000405,Brad Knott,NC,13,R,H4NC13116
M001236,Tim Moore,NC,14,R,H4NC14015
F000482,Julie Fedorchak,ND,0,R,H4ND00061
F000474,Mike Flood,NE,1,R,H2NE01118
B001298,Don Bacon,NE,2,R,H6NE02125
S001172,Adrian Smith,NE,3,R,H6NE03115
P000614,Chris Pappas,NH,1,D,H8NH01210
G000604,Maggie Goodlander,NH,2,D,H4NH02399
N000188,Donald Norcross,NJ,1,D,H4NJ01084
V000133,Jefferson Van Drew,NJ,2,R,H8NJ02166
C001136,"Herbert C. Conaway, Jr.",NJ,3,D,H4NJ03080
S000522,Christopher H. Smith,NJ,4,R,H8NJ04014
G000583,Josh Gottheimer,NJ,5,D,H6NJ05171
P000034,"Frank Pallone, Jr.",NJ,6,D,"H8NJ03073,S6NJ00263"
K000398,"Thomas H. Kean, Jr.",NJ,7,R,H0NJ07261
M001226,Robert Menendez,NJ,8,D,H2NJ08232
P000621,Nellie Pou,NJ,9,D,H4NJ09194
M001229,LaMonica McIver,NJ,10,D,H4NJ10176
S001207,Mikie Sherrill,NJ,11,D,H8NJ11142
W000822,Bonnie Watson Coleman,NJ,12,D,H4NJ12149
S001218,Melanie A. Stansbury,NM,1,D,H2NM01144
V000136,Gabe Vasquez,NM,2,D,H2NM02191
L000273,Teresa Leger Fernandez,NM,3,D,H0NM03102
T000468,Dina Titus,NV,1,D,H8NV03036
A000369,Mark E. Amodei,NV,2,R,"H2NV02395,H1NV02017,S0NV00237"
L000590,Susie Lee,NV,3,D,H6NV04020
H001066,Steven Horsford,NV,4,D,H2NV04011
L000598,Nick LaLota,NY,1,R,H2NY01190
G000597,Andrew R. Garbarino,NY,2,R,H0NY02234
S001201,Thomas R. Suozzi,NY,3,D,H6NY03247
G000602,Laura Gillen,NY,4,D,H4NY04158
M001137,Gregory W. Meeks,NY,5,D,H8NY06048
M001188,Grace Meng,NY,6,D,H2NY06116
V000081,Nydia M. Velázquez,NY,7,D,H2NY00010
J000294,Hakeem S. Jeffries,NY,8,D,H2NY10092
C001067,Yvette D. Clarke,NY,9,D,H4NY11138
G000599,Daniel S. Goldman,NY,10,D,H2NY10308
M000317,Nicole Malliotakis,NY,11,R,H0NY11078
N000002,Jerrold Nadler,NY,12,D,H2NY17071
E000297,Adriano Espaillat,NY,13,D,H2NY13096
O000172,Alexandria Ocasio-Cortez,NY,14,D,H8NY15148
T000486,Ritchie Torres,NY,15,D,H0NY15160
L000606,George Latimer,NY,16,D,H4NY16087
L000599,Michael Lawler,NY,17,R,H2NY17162
R000579,Patrick Ryan,NY,18,D,H8NY19223
R000622,Josh Riley,NY,19,D,H8NY22177
T000469,Paul Tonko,NY,20,D,H8NY21203
S001196,Elise M. Stefanik,NY,21,R,H4NY21079
M001231,John W. Mannion,NY,22,D,H4NY22085
L000600,Nicholas A. Langworthy,NY,23,R,H2NY23228
T000478,Claudia Tenney,NY,24,R,H4NY22051
M001206,Joseph D. Morelle,NY,25,D,H8NY25105
K000402,Timothy M. Kennedy,NY,26,D,H4NY26078
L000601,Greg Landsman,OH,1,D,H2OH01194
T000490,David J. Taylor,OH,2,R,H4OH02248
B001281,Joyce Beatty,OH,3,D,H2OH03125
J000289,Jim Jordan,OH,4,R,H6OH04082
L000566,Robert E. Latta,OH,5,R,H8OH05036
R000619,Michael A. Rulli,OH,6,R,H4OH06165
M001222,Max L. Miller,OH,7,R,H2OH16051
D000626,Warren Davidson,OH,8,R,H6OH08315
K000009,Marcy Kaptur,OH,9,D,H2OH09031
T000463,Michael R. Turner,OH,10,R,"H2OH03067,H2OH03091"
B001313,Shontel M. Brown,OH,11,D,H2OH11169
B001306,Troy Balderson,OH,12,R,H8OH12180
S001223,Emilia Strong Sykes,OH,13,D,H2OH13264
J000295,David P. Joyce,OH,14,R,H2OH14064
C001126,Mike Carey,OH,15,R,H2OH15228
H001082,Kevin Hern,OK,1,R,H8OK01157
B001317,Josh Brecheen,OK,2,R,H2OK02315
L000491,Frank D. Lucas,OK,3,R,H4OK06056
C001053,Tom Cole,OK,4,R,H2OK04055
B000740,Stephanie I. Bice,OK,5,R,H0OK05205
B001278,Suzanne Bonamici,OR,1,D,H2OR01133
B000668,Cliff Bentz,OR,2,R,H0OR02127
D000635,Maxine Dexter,OR,3,D,H4OR03192
H001094,Val T. Hoyle,OR,4,D,H2OR04095
B001326,Janelle S. Bynum,OR,5,D,H4OR05304
S001226,Andrea Salinas,OR,6,D,H2OR06066
F000466,Brian K. Fitzpatrick,PA,1,R,H6PA08277
B001296,Brendan F. Boyle,PA,2,D,H4PA13199
E000296,Dwight Evans,PA,3,D,H6PA02171
D000631,Madeleine Dean,PA,4,D,H8PA04116
S001205,Mary Gay Scanlon,PA,5,D,H8PA07200
H001085,Chrissy Houlahan,PA,6,D,H8PA06087
M001230,Ryan Mackenzie,PA,7,R,H8PA15195
B001327,"Robert P. Bresnahan, Jr.",PA,8,R,H4PA08124
M001204,Daniel Meuser,PA,9,R,H8PA10147
P000605,Scott Perry,PA,10,R,H2PA04135
S001199,Lloyd Smucker,PA,11,R,H6PA16320
L000602,Summer L. Lee,PA,12,D,H2PA18200
J000302,John Joyce,PA,13,R,H8PA13125
R000610,Guy Reschenthaler,PA,14,R,H8PA18199
T000467,Glenn Thompson,PA,15,R,H8PA05071
K000376,Mike Kelly,PA,16,R,H0PA03271
D000530,Christopher R. Deluzio,PA,17,D,H2PA17103
H001103,Pablo José Hernández,PR,0,D,H4PR01010
A000380,Gabe Amo,RI,1,D,H4RI01265
M001223,Seth Magaziner,RI,2,D,H2RI02184
M000194,Nancy Mace,SC,1,R,H0SC01394
W000795,Joe Wilson,SC,2,R,H2SC02059
B001325,Sheri Biggs,SC,3,R,H4SC01313
T000480,William R. Timmons IV,SC,4,R,H8SC04250
N000190,Ralph Norman,SC,5,R,H8SC05158
C000537,James E. Clyburn,SC,6,D,H2SC02042
F000478,Russell Fry,SC,7,R,H2SC07280
J000301,Dusty Johnson,SD,0,R,H8SD01055
H001086,Diana Harshbarger,TN,1,R,H0TN01118
B001309,Tim Burchett,TN,2,R,H8TN02119
F000459,"Charles J. ""Chuck"" Fleischmann",TN,3,R,H0TN03254
D000616,Scott DesJarlais,TN,4,R,H0TN04195
O000175,Andrew Ogles,TN,5,R,H2TN05446
R000612,John W. Rose,TN,6,R,H8TN06094
K000392,David Kustoff,TN,8,R,H2TN07103
C001068,Steve Cohen,TN,9,D,H6TN09068
M001224,Nathaniel Moran,TX,1,R,H2TX01112
C001120,Dan Crenshaw,TX,2,R,H8TX02166
S001224,Keith Self,TX,3,R,H2TX03290
F000246,Pat Fallon,TX,4,R,H0TX04219
G000589,Lance Gooden,TX,5,R,H8TX05144
E000071,Jake Ellzey,TX,6,R,H8TX06266
F000468,Lizzie Fletcher,TX,7,D,H8TX07140
L000603,Morgan Luttrell,TX,8,R,H2TX08182
G000553,Al Green,TX,9,D,H4TX09095
